gmid,mag,dip,rake,z_tor,r_rup,r_jb,r_x,Vs30,Z1.0,Z2.5
1793716gm24,4.4636521422776925,40.0,97.0,26.477374689277088,46.80688561427153,38.241053898003045,6.755781792714389,1000.0,15.0,7.575
1797223gm39,4.35508226283603,40.0,97.0,26.873284542759663,44.55667984215562,35.217592061261485,6.014425858590464,1000.0,15.0,7.575
1797438gm24,4.317875138626659,40.0,97.0,26.814397643316788,44.26870275825671,34.9082221642167,5.979573731547947,1000.0,15.0,7.575
1797520gm34,4.718147830744279,60.0,125.0,3.820332082724176,47.03884231359044,46.63845857349431,47.9380411080022,630.0,28.0,0.275
1797520gm74,4.718147830744279,60.0,125.0,3.820332082724176,43.376955340025646,42.943867690061055,43.17883960799714,246.0,46.0,0.325
1797520gm89,4.718147830744279,60.0,125.0,3.820332082724176,41.38583286709553,40.93033766757978,41.50671134847936,265.0,128.0,0.325
1803016gm44,5.5,40.0,97.0,25.571004369064703,37.01490857205635,26.69536198562019,-6.8030830402340765,440.0,61.0,6.675
1803016gm54,5.5,40.0,97.0,25.571004369064703,50.57315231479794,43.59343691470438,-39.978247478880526,1000.0,15.0,7.575
1807304gm14,4.75145305723092,60.0,80.0,10.78358474232895,35.88543139191016,33.40794688017618,20.434019921196857,600.0,3.0,0.325
1808925gm39,4.666660960560806,67.0,173.0,12.290138092847476,49.8453588050481,47.92547944200151,23.36670297587645,271.0,157.0,0.325
1808925gm49,4.666660960560806,67.0,173.0,12.290138092847476,47.030763736316345,44.94005539912892,23.63514091491248,369.0,39.0,0.325
1809503gm14,4.888650457852929,46.0,140.0,25.329323190161585,58.31799757002003,51.51341856750596,53.15432866721018,1500.0,0.0,0.675
1812052gm14,4.625560694671255,70.0,123.0,36.18039450500792,47.71601990156817,30.190715223178344,29.587737748373097,630.0,28.0,0.275
1812052gm19,4.625560694671255,70.0,123.0,36.18039450500792,46.52370568812609,28.371441937465445,27.11616786039823,222.0,175.0,0.325
1812052gm24,4.625560694671255,70.0,123.0,36.18039450500792,84.04930563750835,75.01834804964146,68.16065184690827,390.0,268.0,1.375
1812052gm29,4.625560694671255,70.0,123.0,36.18039450500792,44.79311574287413,25.464261379146382,26.39736864973453,274.0,97.0,0.325
1812052gm54,4.625560694671255,70.0,123.0,36.18039450500792,43.810612826464016,23.98288940129507,18.998774534905408,532.0,0.0,0.325
1812052gm59,4.625560694671255,70.0,123.0,36.18039450500792,45.424643905560174,26.58053572287471,26.04461183583578,200.0,274.0,0.325
1812052gm64,4.625560694671255,70.0,123.0,36.18039450500792,43.57377255108144,23.596997859992783,18.10445815977336,275.0,25.0,0.325
1812052gm69,4.625560694671255,70.0,123.0,36.18039450500792,41.82170303260963,19.96954879648875,20.902626479042212,453.0,24.0,0.325
1812052gm84,4.625560694671255,70.0,123.0,36.18039450500792,42.72064030016678,21.7481451625136,22.6812314038774,246.0,46.0,0.325
1812052gm94,4.625560694671255,70.0,123.0,36.18039450500792,42.19231348194671,20.75828926646148,21.6913957979392,271.0,157.0,0.325
1812052gm99,4.625560694671255,70.0,123.0,36.18039450500792,54.72123673052327,40.27742799126863,32.71515238932818,390.0,136.0,0.325
1812052gm104,4.625560694671255,70.0,123.0,36.18039450500792,42.03793415719796,20.419237904655247,21.35234635557882,265.0,128.0,0.325
1812052gm109,4.625560694671255,70.0,123.0,36.18039450500792,42.64039329727613,21.562720498052883,22.495094611658427,493.0,50.0,0.325
1812052gm114,4.625560694671255,70.0,123.0,36.18039450500792,41.11311781558483,18.2537975755637,19.18690394398688,369.0,39.0,0.325
1814077gm59,4.939523937059393,67.0,173.0,86.64874694854937,90.56512440722769,25.20951845050467,25.25841511457604,550.0,3.0,0.425
1817241gm29,4.204985239292423,60.0,150.0,8.935889878554393,10.106915733157145,4.551830082160689,-3.4833264574583853,1000.0,5.0,0.275
1834804gm29,4.118026574771187,67.0,173.0,27.52390071749556,57.36994940081926,49.94823788849285,32.575047978522456,229.0,66.0,0.325
1837442gm4,4.65811849481076,70.0,123.0,48.70961032767839,56.80685830805568,28.425797904532143,22.55193817064621,250.0,183.0,0.275
1844344gm54,4.7676807113992,60.0,-127.0,201.46526738338275,419.0930624666438,367.4266933439108,-78.5195785070097,622.0,18.0,0.275
1844373gm24,3.93415361155401,67.0,173.0,14.402430118498248,60.25129636985642,58.2113009718615,32.84537081640697,622.0,18.0,0.275
1849886gm39,4.009107118677157,60.0,125.0,81.91603518481767,124.9759597422191,93.65785957928088,89.68630657858549,622.0,18.0,0.275
1850630gm34,4.600151247553599,72.0,89.0,49.87791785378813,61.67023195314884,36.256212380840005,-26.196680905828995,215.0,75.0,0.325
1850630gm59,4.600151247553599,72.0,89.0,49.87791785378813,82.9734012858975,66.23664244305505,-38.16911349856015,800.0,0.0,0.275
1850630gm64,4.600151247553599,72.0,89.0,49.87791785378813,76.50743390783803,58.00502646647006,-53.38044063269393,206.0,88.0,0.375
1852285gm54,3.9910977219510353,60.0,-127.0,117.94613518608172,193.58224310873223,153.4094930870648,-123.618359676194,622.0,18.0,0.275
